"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3173","Login usando fixture","Funcionalidade Login","2026-03-17","passed","2026-03-17","","","",""
"","3055","Deve fazer login com sucesso - sem otimização","Funcionalidade Login","2026-03-17","passed","2026-03-17","","","",""
"","32749","Deve realizar um pedido com sucesso","Exercicio - E2E - Fluxo de pedido","2026-03-17","passed","2026-03-17","","","",""
"","6065","Login com sucesso usando Comando customizado","Funcionalidade Login","2026-03-17","passed","2026-03-17","","","",""
